name,lat,lng,Group,State,detail
15664,-23.2656,129.3844,Weather_Station,NT, WALUNGURRU AIRPORT                      
14401,-11.65,133.3797,Weather_Station,NT, WARRUWI AIRPORT                         
15635,-25.1896,130.9737,Weather_Station,NT, YULARA AIRPORT                          
23090,-34.9211,138.6216,Weather_Station,SA, ADELAIDE (KENT TOWN)                    
23000,-34.9257,138.5832,Weather_Station,SA, ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)  
23034,-34.9524,138.5196,Weather_Station,SA, ADELAIDE AIRPORT                        
22823,-35.7549,136.5959,Weather_Station,SA, CAPE BORDA                              
26095,-36.9655,139.7164,Weather_Station,SA, CAPE JAFFA (THE LIMESTONE)              
22803,-35.8426,138.1327,Weather_Station,SA, CAPE WILLOUGHBY                         
18012,-32.1297,133.6976,Weather_Station,SA, CEDUNA AMO                              
21131,-33.8226,138.5933,Weather_Station,SA, CLARE HIGH SCHOOL                       
18116,-33.7081,136.5026,Weather_Station,SA, CLEVE AERODROME                         
18230,-34.675,135.3362,Weather_Station,SA, COFFIN BAY (POINT AVOID)                
16090,-29.0347,134.7222,Weather_Station,SA, COOBER PEDY AIRPORT                     
26091,-37.2906,140.8254,Weather_Station,SA, COONAWARRA                              
18229,-32.6845,137.3689,Weather_Station,SA, CULTANA (DEFENCE)                       
18217,-34.2524,135.7135,Weather_Station,SA, CUMMINS AERO                            
23083,-34.7111,138.6222,Weather_Station,SA, EDINBURGH RAAF                          
22046,-35.1121,137.7395,Weather_Station,SA, EDITHBURGH                              
16097,-26.2635,132.1771,Weather_Station,SA, ERNABELLA (PUKATJA)                     
23894,-35.5194,138.8177,Weather_Station,SA, HINDMARSH ISLAND AWS                    
22050,-33.9703,137.6628,Weather_Station,SA, KADINA AWS                              
25557,-36.1058,140.3273,Weather_Station,SA, KEITH (MUNKORA)                         
22841,-35.7114,137.5231,Weather_Station,SA, KINGSCOTE AERO                          
23887,-35.1712,138.6783,Weather_Station,SA, KUITPO FOREST RESERVE                   
25562,-35.3778,140.5378,Weather_Station,SA, LAMEROO (AUSTIN PLAINS)                 
17110,-30.5963,138.4219,Weather_Station,SA, LEIGH CREEK AIRPORT                     
24024,-34.439,140.5978,Weather_Station,SA, LOXTON RESEARCH CENTRE                  
17126,-29.6587,138.0684,Weather_Station,SA, MARREE AERO                             
22031,-34.748,137.5276,Weather_Station,SA, MINLATON AERO                           
18195,-32.8427,135.1515,Weather_Station,SA, MINNIPA PIRSA                           
17123,-28.0997,140.1956,Weather_Station,SA, MOOMBA AIRPORT                          
23878,-34.7253,138.9278,Weather_Station,SA, MOUNT CRAWFORD AWS                      
26021,-37.7473,140.7739,Weather_Station,SA, MOUNT GAMBIER AERO                      
23842,-34.9784,138.7088,Weather_Station,SA, MOUNT LOFTY                             
24584,-35.065,139.2273,Weather_Station,SA, MURRAY BRIDGE (PALLAMANA AERODROME)     
26099,-36.9813,140.727,Weather_Station,SA, NARACOORTE AERODROME                    
18115,-35.3365,136.1174,Weather_Station,SA, NEPTUNE ISLAND                          
23885,-35.1586,138.5057,Weather_Station,SA, NOARLUNGA                               
18192,-34.5993,135.8784,Weather_Station,SA, NORTH SHIELDS (PORT LINCOLN AWS)        
18106,-31.4492,130.8976,Weather_Station,SA, NULLARBOR                               
23373,-34.4761,139.0056,Weather_Station,SA, NURIOOTPA PIRSA                         
17043,-27.5553,135.4456,Weather_Station,SA, OODNADATTA AIRPORT                      
26100,-36.6539,140.5212,Weather_Station,SA, PADTHAWAY SOUTH                         
23013,-34.7977,138.6281,Weather_Station,SA, PARAFIELD AIRPORT                       
23875,-35.5695,138.2864,Weather_Station,SA, PARAWA (SECOND VALLEY FOREST AWS)       
22843,-35.7916,137.2496,Weather_Station,SA, PARNDANA CFS AWS                        
18201,-32.5073,137.7169,Weather_Station,SA, PORT AUGUSTA AERO                       
24048,-34.1983,140.6766,Weather_Station,SA, RENMARK AERO                            
26105,-37.1776,139.8054,Weather_Station,SA, ROBE AIRFIELD                           
23122,-34.5106,138.6763,Weather_Station,SA, ROSEWORTHY AWS                          
16096,-30.4829,136.8772,Weather_Station,SA, ROXBY DOWNS (OLYMPIC DAM AERODROME)     
21133,-33.7676,138.2182,Weather_Station,SA, SNOWTOWN (RAYVILLE PARK)                
22049,-35.2795,136.9392,Weather_Station,SA, STENHOUSE BAY                           
24580,-35.2836,138.8934,Weather_Station,SA, STRATHALBYN RACECOURSE                  
16098,-30.7051,134.5786,Weather_Station,SA, TARCOOLA AERO                           
18120,-33.0539,137.5206,Weather_Station,SA, WHYALLA AERO                            
16001,-31.1558,136.8054,Weather_Station,SA, WOOMERA AERODROME                       
18083,-33.043,135.4519,Weather_Station,SA, WUDINNA AERO                            
20062,-32.5707,139.5645,Weather_Station,SA, YUNTA AIRSTRIP                          
90180,-38.4583,144.0883,Weather_Station,VIC, AIREYS INLET                            
87113,-38.0287,144.4783,Weather_Station,VIC, AVALON AIRPORT                          
85279,-37.8817,147.5669,Weather_Station,VIC, BAIRNSDALE AIRPORT                      
89002,-37.5127,143.7911,Weather_Station,VIC, BALLARAT AERODROME                      
81123,-36.7395,144.3266,Weather_Station,VIC, BENDIGO AIRPORT                         
87184,-38.1737,144.3765,Weather_Station,VIC, BREAKWATER (GEELONG RACECOURSE)         
90184,-38.4306,141.5437,Weather_Station,VIC, CAPE NELSON LIGHTHOUSE                  
90015,-38.8556,143.5128,Weather_Station,VIC, CAPE OTWAY LIGHTHOUSE                   
90182,-37.583,141.3339,Weather_Station,VIC, CASTERTON                               
86361,-38.3646,145.1785,Weather_Station,VIC, CERBERUS                                
80128,-36.2847,143.3341,Weather_Station,VIC, CHARLTON                                
90035,-38.2333,143.7925,Weather_Station,VIC, COLAC (MOUNT GELLIBRAND)                
86383,-37.7239,145.4092,Weather_Station,VIC, COLDSTREAM                              
86320,-37.7239,145.4092,Weather_Station,VIC, COLDSTREAM COMPARISON                   
84143,-37.3417,149.0228,Weather_Station,VIC, COMBIENBAR AWS                          
85301,-38.8051,146.1939,Weather_Station,VIC, CORNER INLET (YANAKIE)                  
90194,-37.9222,141.2614,Weather_Station,VIC, DARTMOOR                                
83055,-37.0491,147.3347,Weather_Station,VIC, DINNER PLAIN (MOUNT HOTHAM AIRPORT)     
85072,-38.1156,147.1322,Weather_Station,VIC, EAST SALE                               
79099,-37.0222,141.2657,Weather_Station,VIC, EDENHOPE AIRPORT                        
88164,-37.2091,145.8423,Weather_Station,VIC, EILDON FIRE TOWER                       
86038,-37.7276,144.9066,Weather_Station,VIC, ESSENDON AIRPORT                        
83084,-36.8708,147.2755,Weather_Station,VIC, FALLS CREEK                             
86266,-37.8748,145.3496,Weather_Station,VIC, FERNY CREEK                             
86371,-38.1481,145.1156,Weather_Station,VIC, FRANKSTON AWS                           
84016,-37.5679,149.9158,Weather_Station,VIC, GABO ISLAND LIGHTHOUSE                  
84142,-37.22,148.2625,Weather_Station,VIC, GELANTIPY                               
79103,-37.295,142.6039,Weather_Station,VIC, GRAMPIANS (MOUNT WILLIAM)               
90173,-37.6486,142.0636,Weather_Station,VIC, HAMILTON AIRPORT                        
77010,-35.7151,142.3569,Weather_Station,VIC, HOPETOUN AIRPORT                        
79100,-36.6697,142.1731,Weather_Station,VIC, HORSHAM AERODROME                       
82139,-36.2136,147.5394,Weather_Station,VIC, HUNTERS HILL                            
79097,-37.1169,141.8031,Weather_Station,VIC, KANAGULK                                
78018,-36.3204,142.4161,Weather_Station,VIC, KELLALAC (WARRACKNABEAL AIRPORT)        
80091,-36.335,145.0638,Weather_Station,VIC, KYABRAM                                 
87031,-37.8565,144.7566,Weather_Station,VIC, LAVERTON RAAF                           
79028,-36.6722,142.2991,Weather_Station,VIC, LONGERENONG                             
84084,-37.5976,149.7289,Weather_Station,VIC, MALLACOOTA                              
88109,-36.8886,145.1859,Weather_Station,VIC, MANGALORE AIRPORT                       
86338,-37.8255,144.9816,Weather_Station,VIC, MELBOURNE (OLYMPIC PARK)                
86282,-37.6655,144.8321,Weather_Station,VIC, MELBOURNE AIRPORT                       
76031,-34.2358,142.0867,Weather_Station,VIC, MILDURA AIRPORT                         
86077,-37.98,145.0962,Weather_Station,VIC, MOORABBIN AIRPORT                       
90176,-38.0737,142.7744,Weather_Station,VIC, MORTLAKE RACECOURSE                     
85280,-38.2094,146.4747,Weather_Station,VIC, MORWELL (LATROBE VALLEY AIRPORT)        
85291,-37.8383,146.2747,Weather_Station,VIC, MOUNT BAW BAW                           
83024,-37.145,146.4394,Weather_Station,VIC, MOUNT BULLER                            
83085,-36.9767,147.1342,Weather_Station,VIC, MOUNT HOTHAM                            
85296,-37.7481,147.1428,Weather_Station,VIC, MOUNT MOORNAPA                          
84144,-37.6924,148.0908,Weather_Station,VIC, MOUNT NOWA NOWA                         
78015,-36.3092,141.6486,Weather_Station,VIC, NHILL AERODROME                         
83090,-37.1017,147.6008,Weather_Station,VIC, OMEO                                    
84145,-37.6922,148.4667,Weather_Station,VIC, ORBOST                                  
90175,-38.3906,142.2347,Weather_Station,VIC, PORT FAIRY AWS                          
90171,-38.3148,141.4705,Weather_Station,VIC, PORTLAND (CASHMORE AIRPORT)             
90192,-38.3439,141.6136,Weather_Station,VIC, PORTLAND NTC AWS                        
85099,-38.6297,145.8107,Weather_Station,VIC, POUND CREEK                             
79101,-37.2281,143.2006,Weather_Station,VIC, PYRENEES (BEN NEVIS)                    
88051,-37.0194,144.5203,Weather_Station,VIC, REDESDALE                               
86373,-38.4612,145.3101,Weather_Station,VIC, RHYLL                                   
82039,-36.1047,146.5094,Weather_Station,VIC, RUTHERGLEN RESEARCH                     
86104,-37.871,145.2561,Weather_Station,VIC, SCORESBY RESEARCH INSTITUTE             
87168,-37.9075,144.1303,Weather_Station,VIC, SHEOAKS                                 
81125,-36.4289,145.3947,Weather_Station,VIC, SHEPPARTON AIRPORT                      
79105,-37.072,142.7402,Weather_Station,VIC, STAWELL AERODROME                       
77094,-35.3766,143.5416,Weather_Station,VIC, SWAN HILL AERODROME                     
81049,-36.4378,145.2672,Weather_Station,VIC, TATURA INST SUSTAINABLE AG              
86068,-37.7408,145.0972,Weather_Station,VIC, VIEWBANK                                
88162,-37.3807,144.9654,Weather_Station,VIC, WALLAN (KILMORE GAP)                    
76064,-35.1201,142.004,Weather_Station,VIC, WALPEUP RESEARCH                        
82138,-36.4206,146.3056,Weather_Station,VIC, WANGARATTA AERO                         
90186,-38.2867,142.4522,Weather_Station,VIC, WARRNAMBOOL AIRPORT NDB                 
89112,-37.7067,142.9378,Weather_Station,VIC, WESTMERE                                
85096,-39.1297,146.4244,Weather_Station,VIC, WILSONS PROMONTORY LIGHTHOUSE           
85151,-38.5647,146.7479,Weather_Station,VIC, YARRAM AIRPORT                          
81124,-36.0294,146.0306,Weather_Station,VIC, YARRAWONGA                              
33295,-19.4569,147.4833,Weather_Station,QLD, ALVA BEACH                              
40004,-27.6297,152.7111,Weather_Station,QLD, AMBERLEY AMO                            
41175,-28.6217,151.9533,Weather_Station,QLD, APPLETHORPE                             
40211,-27.5717,153.0078,Weather_Station,QLD, ARCHERFIELD AIRPORT                     
33002,-19.6169,147.3758,Weather_Station,QLD, AYR DPI RESEARCH STN                    
45009,-27.4008,141.8114,Weather_Station,QLD, BALLERA GAS FIELD                       
40983,-27.9707,152.9898,Weather_Station,QLD, BEAUDESERT DRUMLEY STREET               
40284,-26.9586,152.9619,Weather_Station,QLD, BEERBURRUM FOREST STATION               
38026,-25.8975,139.3472,Weather_Station,QLD, BIRDSVILLE AIRPORT                      
36034,-24.4303,145.4306,Weather_Station,QLD, BLACKALL AIRPORT                        
35134,-23.6015,148.8074,Weather_Station,QLD, BLACKWATER AIRPORT                      
33327,-20.0154,148.2138,Weather_Station,QLD, BOWEN AIRPORT AWS                       
40913,-27.4808,153.0389,Weather_Station,QLD, BRISBANE                                
40842,-27.3917,153.1292,Weather_Station,QLD, BRISBANE AERO                           
29077,-17.7483,139.5356,Weather_Station,QLD, BURKETOWN AIRPORT                       
31011,-16.8736,145.7458,Weather_Station,QLD, CAIRNS AERO                             
31222,-16.9463,145.7474,Weather_Station,QLD, CAIRNS RACECOURSE                       
37010,-19.9225,138.1214,Weather_Station,QLD, CAMOOWEAL TOWNSHIP                      
31213,-14.9672,145.3106,Weather_Station,QLD, CAPE FLATTERY                           
37053,-20.9358,139.2964,Weather_Station,QLD, CARTERS BORE                            
29167,-18.7569,138.7056,Weather_Station,QLD, CENTURY MINE                            
44021,-26.4139,146.2558,Weather_Station,QLD, CHARLEVILLE AERO                        
35124,-22.7756,147.6217,Weather_Station,QLD, CLERMONT AIRPORT                        
29141,-20.6664,140.505,Weather_Station,QLD, CLONCURRY AIRPORT                       
27054,-10.0511,143.0686,Weather_Station,QLD, COCONUT ISLAND                          
27073,-13.7606,143.1183,Weather_Station,QLD, COEN AIRPORT                            
31209,-15.4461,145.1861,Weather_Station,QLD, COOKTOWN AIRPORT                        
40717,-28.1681,153.5053,Weather_Station,QLD, COOLANGATTA                             
41522,-27.1605,151.2634,Weather_Station,QLD, DALBY AIRPORT                           
40068,-25.9319,153.1906,Weather_Station,QLD, DOUBLE ISLAND POINT LIGHTHOUSE          
35264,-23.5694,148.1756,Weather_Station,QLD, EMERALD AIRPORT                         
39066,-25.6167,151.6156,Weather_Station,QLD, GAYNDAH AIRPORT                         
30124,-18.3039,143.5306,Weather_Station,QLD, GEORGETOWN AIRPORT                      
39326,-23.8697,151.2214,Weather_Station,QLD, GLADSTONE AIRPORT                       
39123,-23.8553,151.2628,Weather_Station,QLD, GLADSTONE RADAR                         
40764,-27.939,153.4283,Weather_Station,QLD, GOLD COAST SEAWAY                       
40093,-26.1831,152.6414,Weather_Station,QLD, GYMPIE                                  
33106,-20.3658,148.9536,Weather_Station,QLD, HAMILTON ISLAND AIRPORT                 
40405,-25.322,152.8817,Weather_Station,QLD, HERVEY BAY AIRPORT                      
27058,-10.5844,142.29,Weather_Station,QLD, HORN ISLAND                             
30022,-20.8192,144.2333,Weather_Station,QLD, HUGHENDEN AIRPORT                       
32197,-17.5581,146.0119,Weather_Station,QLD, INNISFAIL AERODROME                     
29058,-20.6672,141.7214,Weather_Station,QLD, JULIA CREEK AIRPORT                     
40922,-26.5737,151.8398,Weather_Station,QLD, KINGAROY AIRPORT                        
29038,-15.4818,141.7483,Weather_Station,QLD, KOWANYAMA AIRPORT                       
39059,-24.1116,152.7161,Weather_Station,QLD, LADY ELLIOT ISLAND                      
29181,-20.1167,139.7256,Weather_Station,QLD, LAKE JULIUS AWS                         
35139,-23.9424,147.525,Weather_Station,QLD, LOCHINGTON                              
36031,-23.4397,144.2828,Weather_Station,QLD, LONGREACH AERO                          
31037,-16.3842,145.5592,Weather_Station,QLD, LOW ISLES LIGHTHOUSE                    
32141,-18.5203,146.3861,Weather_Station,QLD, LUCINDA POINT                           
33045,-21.1706,149.1794,Weather_Station,QLD, MACKAY AERO                             
33119,-21.1172,149.2169,Weather_Station,QLD, MACKAY M.O                              
31210,-17.0704,145.4293,Weather_Station,QLD, MAREEBA AIRPORT                         
40126,-25.5132,152.7152,Weather_Station,QLD, MARYBOROUGH                             
42112,-26.6569,150.1819,Weather_Station,QLD, MILES CONSTANCE STREET                  
34035,-22.0644,148.0758,Weather_Station,QLD, MORANBAH AIRPORT                        
29182,-16.662,139.1655,Weather_Station,QLD, MORNINGTON ISLAND AIRPORT               
29127,-20.6778,139.4875,Weather_Station,QLD, MOUNT ISA AERO                          
32195,-19.4082,146.762,Weather_Station,QLD, MOUNT STUART (DEFENCE)                  
40988,-26.6442,152.9383,Weather_Station,QLD, NAMBOUR DAFF - HILLSIDE                 
37059,-20.59,139.3411,Weather_Station,QLD, NEW MAY DOWNS                           
29063,-17.6872,141.0733,Weather_Station,QLD, NORMANTON AIRPORT                       
41359,-27.4034,151.7413,Weather_Station,QLD, OAKEY AERO                              
33329,-21.17,149.1515,Weather_Station,QLD, OORALEA RACECOURSE (MACKAY TURF CLUB)   
28004,-15.9999,144.0754,Weather_Station,QLD, PALMERVILLE                             
33247,-20.4925,148.555,Weather_Station,QLD, PROSERPINE AIRPORT                      
40958,-27.2169,153.0922,Weather_Station,QLD, REDCLIFFE                               
30161,-20.7017,143.1167,Weather_Station,QLD, RICHMOND AIRPORT                        
39083,-23.3753,150.4775,Weather_Station,QLD, ROCKHAMPTON AERO                        
35129,-24.4617,148.6264,Weather_Station,QLD, ROLLESTON AIRPORT                       
43091,-26.5477,148.771,Weather_Station,QLD, ROMA AIRPORT                            
33208,-23.161,150.7901,Weather_Station,QLD, ROSSLYN BAY NTC AWS                     
39322,-23.5293,151.2763,Weather_Station,QLD, RUNDLE ISLAND                           
33308,-22.7433,150.6578,Weather_Station,QLD, SAMUEL HILL AERO                        
27075,-12.6167,142.0869,Weather_Station,QLD, SCHERGER RAAF                           
32037,-17.6053,145.9972,Weather_Station,QLD, SOUTH JOHNSTONE EXP STN                 
43109,-28.0489,148.5942,Weather_Station,QLD, ST GEORGE AIRPORT                       
33210,-22.3472,149.5242,Weather_Station,QLD, ST LAWRENCE                             
40861,-26.6006,153.0903,Weather_Station,QLD, SUNSHINE COAST AIRPORT                  
40908,-26.3911,153.0403,Weather_Station,QLD, TEWANTIN RSL PARK                       
39089,-24.4935,150.5709,Weather_Station,QLD, THANGOOL AIRPORT                        
45025,-27.9867,143.815,Weather_Station,QLD, THARGOMINDAH AIRPORT                    
37034,-21.8125,139.9267,Weather_Station,QLD, THE MONUMENT AIRPORT                    
41529,-27.5425,151.9134,Weather_Station,QLD, TOOWOOMBA AIRPORT                       
32040,-19.2483,146.7661,Weather_Station,QLD, TOWNSVILLE AERO                         
32196,-19.3048,146.2438,Weather_Station,QLD, TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE) 
33328,-19.783,146.5,Weather_Station,QLD, TOWNSVILLE- FANNING RIVER (DEFENCE)     
37036,-21.84,140.8925,Weather_Station,QLD, TREPELL AIRPORT                         
40082,-27.5436,152.3375,Weather_Station,QLD, UNIVERSITY OF QUEENSLAND GATTON         
37058,-21.5979,138.3665,Weather_Station,QLD, URANDANGI AERODROME                     
41525,-28.2061,152.1003,Weather_Station,QLD, WARWICK                                 
27045,-12.6778,141.9208,Weather_Station,QLD, WEIPA AERO                              
33195,-22.4703,150.1786,Weather_Station,QLD, WILLIAMSON                              
38076,-25.4117,142.6647,Weather_Station,QLD, WINDORAH AIRPORT                        
37039,-22.3617,143.0836,Weather_Station,QLD, WINTON AIRPORT                          
33307,-19.4167,146.5364,Weather_Station,QLD, WOOLSHED                                
33294,-23.1364,150.7506,Weather_Station,QLD, YEPPOON THE ESPLANADE                   
91344,-41.05,145.9149,Weather_Station,TAS, BURNIE NTC AWS                          
95003,-42.7097,146.8983,Weather_Station,TAS, BUSHY PARK (BUSHY PARK ESTATES)         
96003,-42.2753,146.2758,Weather_Station,TAS, BUTLERS GORGE                           
94212,-42.6867,147.4258,Weather_Station,TAS, CAMPANIA (KINCORA)                      
94198,-43.4886,147.1444,Weather_Station,TAS, CAPE BRUNY (CAPE BRUNY)                 
91331,-40.6764,144.6922,Weather_Station,TAS, CAPE GRIM                               
91245,-40.6828,144.69,Weather_Station,TAS, CAPE GRIM BAPS (COMPARISON)             
97000,-42.1986,145.17,Weather_Station,TAS, CAPE SORELL                             
91306,-41.7256,147.0794,Weather_Station,TAS, CRESSY RESEARCH STATION                 
94255,-43.0639,147.3567,Weather_Station,TAS, DENNES POINT                            
91126,-41.1701,146.4289,Weather_Station,TAS, DEVONPORT AIRPORT                       
94254,-42.9017,147.7894,Weather_Station,TAS, DUNALLEY (STROUD POINT)                 
92012,-41.6428,147.9664,Weather_Station,TAS, FINGAL (LEGGE STREET)                   
99005,-40.0911,148.0024,Weather_Station,TAS, FLINDERS ISLAND AIRPORT                 
92114,-41.9953,148.2794,Weather_Station,TAS, FRIENDLY BEACHES                        
94220,-42.9858,147.0742,Weather_Station,TAS, GROVE (RESEARCH STATION)                
94191,-43.2006,146.7683,Weather_Station,TAS, HARTZ MOUNTAIN (KEOGHS PIMPLE)          
94029,-42.8897,147.3278,Weather_Station,TAS, HOBART (ELLERSLIE ROAD)                 
94008,-42.8339,147.5033,Weather_Station,TAS, HOBART AIRPORT                          
98017,-39.8801,143.8829,Weather_Station,TAS, KING ISLAND AIRPORT                     
94087,-42.895,147.2358,Weather_Station,TAS, KUNANYI (MOUNT WELLINGTON PINNACLE)     
92045,-40.9928,148.3467,Weather_Station,TAS, LARAPUNA (EDDYSTONE POINT)              
91237,-41.4194,147.1219,Weather_Station,TAS, LAUNCESTON (TI TREE BEND)               
91311,-41.5492,147.2144,Weather_Station,TAS, LAUNCESTON AIRPORT                      
96033,-41.8997,146.6694,Weather_Station,TAS, LIAWENEE                                
91293,-41.0547,146.7874,Weather_Station,TAS, LOW HEAD                                
97080,-42.9831,145.5025,Weather_Station,TAS, LOW ROCKY POINT                         
91259,-41.1492,145.1517,Weather_Station,TAS, LUNCHEON HILL (FORESTRY)                
94041,-43.6578,146.2711,Weather_Station,TAS, MAATSUYKER ISLAND LIGHTHOUSE            
92124,-42.6621,148.0179,Weather_Station,TAS, MARIA ISLAND (POINT LESUEUR)            
95048,-42.4842,146.7106,Weather_Station,TAS, OUSE FIRE STATION                       
97083,-43.0425,146.2722,Weather_Station,TAS, SCOTTS PEAK DAM                         
91219,-41.1708,147.4883,Weather_Station,TAS, SCOTTSDALE (WEST MINSTONE ROAD)         
91291,-41.3886,146.3219,Weather_Station,TAS, SHEFFIELD SCHOOL FARM                   
91292,-40.8347,145.0847,Weather_Station,TAS, SMITHTON AERODROME                      
92133,-42.5464,147.9308,Weather_Station,TAS, SPRING BAY NTC AWS                      
92120,-41.3381,148.2792,Weather_Station,TAS, ST HELENS AERODROME                     
97072,-42.155,145.2908,Weather_Station,TAS, STRAHAN AERODROME                       
92123,-40.7292,148.125,Weather_Station,TAS, SWAN ISLAND                             
94155,-43.2397,148.0025,Weather_Station,TAS, TASMAN ISLAND                           
94195,-42.4543,147.4612,Weather_Station,TAS, TUNNACK FIRE STATION                    
97024,-43.0609,146.704,Weather_Station,TAS, WARRA                                   
91107,-40.9964,145.7311,Weather_Station,TAS, WYNYARD AIRPORT                         
68241,-34.5638,150.79,Weather_Station,NSW, ALBION PARK (WOLLONGONG AIRPORT)        
72160,-36.069,146.9509,Weather_Station,NSW, ALBURY AIRPORT AWS                      
56238,-30.5273,151.6158,Weather_Station,NSW, ARMIDALE AIRPORT AWS                    
67108,-33.8969,150.7281,Weather_Station,NSW, BADGERYS CREEK AWS                      
58198,-28.8353,153.5585,Weather_Station,NSW, BALLINA AIRPORT AWS                     
66137,-33.9181,150.9864,Weather_Station,NSW, BANKSTOWN AIRPORT AWS                   
63291,-33.4119,149.654,Weather_Station,NSW, BATHURST AIRPORT AWS                    
69139,-36.6722,149.8191,Weather_Station,NSW, BEGA AWS                                
68228,-34.3691,150.9291,Weather_Station,NSW, BELLAMBI AWS                            
70328,-37.0016,149.2336,Weather_Station,NSW, BOMBALA AWS                             
48245,-30.0362,145.9521,Weather_Station,NSW, BOURKE AIRPORT AWS                      
69132,-35.4253,149.7835,Weather_Station,NSW, BRAIDWOOD RACECOURSE AWS                
47048,-32.0012,141.4694,Weather_Station,NSW, BROKEN HILL AIRPORT AWS                 
58216,-28.6399,153.6358,Weather_Station,NSW, BYRON BAY (CAPE BYRON AWS)              
72161,-35.9371,148.3779,Weather_Station,NSW, CABRAMURRA SMHEA AWS                    
68192,-34.039,150.689,Weather_Station,NSW, CAMDEN AIRPORT AWS                      
68257,-34.0615,150.7735,Weather_Station,NSW, CAMPBELLTOWN (MOUNT ANNAN)              
70351,-35.3088,149.2004,Weather_Station,NSW, CANBERRA AIRPORT                        
66194,-33.9057,151.1134,Weather_Station,NSW, CANTERBURY RACECOURSE AWS               
58208,-28.8824,153.0618,Weather_Station,NSW, CASINO AIRPORT AWS                      
61260,-32.7886,151.3377,Weather_Station,NSW, CESSNOCK AIRPORT AWS                    
48027,-31.484,145.8294,Weather_Station,NSW, COBAR MO                                
59151,-30.3189,153.1162,Weather_Station,NSW, COFFS HARBOUR AIRPORT                   
50137,-33.0682,147.2133,Weather_Station,NSW, CONDOBOLIN AIRPORT AWS                  
70217,-36.2939,148.9725,Weather_Station,NSW, COOMA AIRPORT AWS                       
64017,-31.333,149.2699,Weather_Station,NSW, COONABARABRAN AIRPORT AWS               
51161,-30.9776,148.3798,Weather_Station,NSW, COONAMBLE AIRPORT AWS                   
61412,-33.0887,151.4636,Weather_Station,NSW, COORANBONG (LAKE MACQUARIE AWS)         
