"";"source";"target";"value"
"245";"6278041526971318";"9344415836146";27
"246";"6278041287085217";"9344412071304";26
"247";"6278041210600512";"9344643807659";26
"248";"6278041839170111";"9344401400733";26
"249";"6278041808955815";"9344467630563";26
"250";"6278041927285318";"9344668181772";26
"251";"6278041213352616";"9344473205885";26
"252";"6278041605959010";"9353192436036";26
"253";"6278041257470019";"9344614021558";26
"254";"6278042030042810";"9353196014216";26
"255";"6278041284544919";"9344517306257";26
"256";"6278041108093317";"9344753420670";26
"257";"6278041033589017";"9344510975542";26
"258";"6278041335085011";"9344762485974";26
"259";"6278041802359618";"9344522175657";26
"260";"6278042111824615";"9355037820024";26
"261";"6278041243054711";"9344759422425";26
"262";"6278041687118816";"9344494313217";26
"263";"6278041112335613";"9344433096409";26
"264";"6278041833229012";"9353109847207";26
"265";"6278042119179822";"9344659404552";26
"266";"6278041299868717";"9361055797996";26
"267";"6278041807441916";"9344510551814";26
"268";"6278042050334816";"9361058674461";25
"269";"6278042117499818";"9344665271797";25
"270";"6278041728141918";"9344660486448";25
"271";"6278041057989515";"9344608437846";25
"272";"6278041003637713";"9344660345837";25
"273";"6278041042181210";"9344661728226";25
"274";"6278041675708818";"9344686237130";25
"275";"6278041922986217";"9361059924244";25
"276";"6278041994008114";"9344729450212";25
"277";"6278042164252110";"9344699714338";25
"278";"6278041469546515";"9344660151766";25
"279";"6278042166923510";"9353098131370";25
"280";"6278041252365313";"9344458918571";25
"281";"6278041694983517";"9344662147385";25
"282";"6278041700941210";"9344663633009";25
"283";"6278041000925012";"9344472849738";25
"284";"6278041146128315";"9344513356485";25
"285";"6278041591849712";"9344483849291";25
"286";"6278041458182116";"9344478674402";25
"287";"6278041342547029";"9344616665507";25
"288";"6278041518633025";"9344668602383";25
"289";"6278042074128517";"9353074306433";25
"290";"6278041319629123";"9344529322603";25
"291";"6278041940763119";"9344648068543";25
"292";"6278041388373710";"9355033855297";25
"293";"6278041330120110";"9344481489611";24
"294";"6278041683179515";"9344507805692";24
"295";"6278041277746711";"9355034110326";24
"296";"6278041531347314";"9344665895399";24
"297";"6278041113091215";"9344482661559";24
"298";"6278041587614716";"9344680774662";24
"299";"6278041243038912";"9344482721543";24
"300";"6278041814113318";"9361030941000";24
"301";"6278042142584618";"9355032128316";24
"302";"6278041584454918";"9344534654966";24
"303";"6278041033663820";"9344754330008";24
"304";"6278041686443512";"9344664401270";24
"305";"6278041833824515";"9344461790614";24
"306";"6278041236174617";"9344466798059";24
"307";"6278041983669512";"9355032917026";24
"308";"6278041286104514";"9344633849164";24
"309";"6278041035603121";"9344474376263";24
"310";"6278041931092312";"9344467611821";24
"311";"6278041527901819";"9344451407058";24
"312";"6278041463653929";"9353100126585";24
"313";"6278041331888715";"9344461594564";24
"314";"6278041605935614";"9353188481828";24
"315";"6278042184469215";"9344759128204";24
"316";"6278042184227514";"9361058867627";24
"317";"6278042132427018";"9344478965616";24
"318";"6278041244021511";"9344650137398";24
"319";"6278041603367810";"9353215210155";24
"320";"6278041997448812";"9355038160686";24
"321";"6278041257896528";"9353079891293";24
"322";"6278041146887423";"9344608900883";24
"323";"6278042140420617";"9361059324174";24
"324";"6278041160615817";"9344454604058";24
"325";"6278041008957017";"9344504744970";24
"326";"6278041496546827";"9344513451463";24
"327";"6278042080682614";"9344534969732";24
"328";"6278042050316722";"9344505893226";24
"329";"6278041927207510";"9344607989575";24
"330";"6278041740112418";"9344466679693";24
"331";"6278041168758718";"9344620275020";23
"332";"6278042008198412";"9344752257543";23
"333";"6278041091088811";"9344661200357";23
"334";"6278041715900011";"9344774802936";23
"335";"6278041920361918";"9344667096121";23
"336";"6278041328047119";"9344608259134";23
"337";"6278042174028310";"9353191530063";23
"338";"6278042131159612";"9344668286354";23
"339";"6278041520792819";"9355050325827";23
"340";"6278041781758913";"9344516835116";23
"341";"6278041367252513";"9344471253826";23
"342";"6278041351332917";"9355031443755";23
"343";"6278042088832716";"9344750154882";23
"344";"6278041274065016";"9355033171977";23
"345";"6278041513208617";"9344509176455";23
"346";"6278041996001315";"9344608335128";23
"347";"6278041610012417";"9344703402350";23
"348";"6278041773512310";"9344673494133";23
"349";"6278041233815816";"9344534513652";23
"350";"6278041318035710";"9344402070799";23
"351";"6278041963374919";"9344412187678";23
"352";"6278041303947515";"9344459466668";23
"353";"6278041311476614";"9344699261092";23
"354";"6278041738692611";"9344418319523";23
"355";"6278041298519915";"9344766248988";23
"356";"6278041351977414";"9344472543834";23
"357";"6278041232294823";"9355040501828";23
"358";"6278042171769510";"9355030193682";23
"359";"6278041288581818";"9355054687716";23
"360";"6278041681570814";"9353107193702";23
"361";"6278041599037617";"9344516333315";23
"362";"6278042066320924";"9344661100350";23
"363";"6278041915856914";"9344675850340";22
"364";"6278041514233119";"9344661153134";22
"365";"6278042140755210";"9344616533387";22
"366";"6278041168736011";"9344458519754";22
"367";"6278041593693514";"9344470214347";22
"368";"6278041638336822";"9344634049402";22
"369";"6278042021178714";"9344774257002";22
"370";"6278041677917011";"9344420278238";22
"371";"6278041823344417";"9344470723269";22
"372";"6278041027008917";"9344463816312";22
"373";"6278041816189712";"9344662338189";22
"374";"6278041647502216";"9361059302400";22
"375";"6278041321366318";"9344485132056";22
"376";"6278041261398412";"9344520531950";22
"377";"6278042105790913";"9344772225591";22
"378";"6278041267926224";"9344413061304";22
"379";"6278042150229916";"9344620101961";22
"380";"6278041352958116";"9344453309985";22
"381";"6278042023301819";"9353130637365";22
"382";"6278041369573510";"9344531670525";22
"383";"6278041337168211";"9344606338541";22
"384";"6278042127909814";"9344664600598";22
"385";"6278041702710118";"9344678421042";22
"386";"6278042100020712";"9353155112236";22
"387";"6278041765871716";"9344455687869";22
"388";"6278041285977423";"9344740896464";22
"389";"6278041346049410";"9344465930245";22
"390";"6278041913028110";"9344725335360";22
"391";"6278042159765415";"9355035040240";22
"392";"6278041587884913";"9344532054492";22
"393";"6278041568483115";"9353100803295";22
"394";"6278041148135128";"9353183158367";22
"395";"6278042115240511";"9344489096439";22
"396";"6278041402402123";"9344721739377";22
"397";"6278042051784514";"9344457970235";22
"398";"6278041107907210";"9344696577943";22
"399";"6278042160239418";"9344428606835";22
"400";"6278041817663517";"9344478375088";21
"401";"6278041375297419";"9344624747400";21
"402";"6278041351453614";"9344469570010";21
"403";"6278042098087418";"9344458054736";21
"404";"6278041668900711";"9361059938302";21
"405";"6278041382355820";"9344458833805";21
"406";"6278041292822117";"9344622832221";21
"407";"6278041636523827";"9344473873060";21
"408";"6278041525290017";"9353064258469";21
"409";"6278041761527619";"9344640692043";21
"410";"6278042081022117";"9344473530413";21
"411";"6278041237334913";"9344414249756";21
"412";"6278042122152311";"9344495817714";21
"413";"6278041239972827";"9344519275254";21
"414";"6278042140330212";"9355032552975";21
"415";"6278041305250819";"9344463739048";21
"416";"6278041480923727";"9344491287368";21
"417";"6278041615302813";"9353132320456";21
"418";"6278042064479524";"9344777748552";21
"419";"6278042066531710";"9344751305870";21
"420";"6278041149680320";"9344501414784";21
"421";"6278041748983810";"9361059648683";21
"422";"6278041644728210";"9344511828373";21
"423";"6278041046181810";"9344461887932";21
"424";"6278042078720715";"9353078814828";21
"425";"6278041839060619";"9344668189402";21
"426";"6278041648917710";"9344668026226";21
"427";"6278041058695715";"9344506697977";21
"428";"6278041255998219";"9344665680131";21
"429";"6278041245531211";"9344404289977";21
"430";"6278041275946115";"9344469997251";21
"431";"6278041664177710";"9344662463911";21
"432";"6278041310500323";"9344427588149";21
"433";"6278041406426318";"9344418413023";21
"434";"6278041092158621";"9355069697830";21
"435";"6278041151024219";"9344461872532";21
"436";"6278041352994210";"9353093988962";20
"437";"6278042169703117";"9353103247225";20
"438";"6278041000870010";"9361058856768";20
"439";"6278041470442316";"9353185834863";20
"440";"6278041824109017";"9344631769129";20
"441";"6278041494302827";"9355030329234";20
"442";"6278041208094413";"9344452667321";20
"443";"6278041841096213";"9344524709546";20
"444";"6278041279098616";"9344468152699";20
"445";"6278041034526810";"9344464722094";20
"446";"6278041166470712";"9344473871172";20
"447";"6278042055814911";"9344482556008";20
"448";"6278041839036312";"9344479207692";20
"449";"6278041963781816";"9344633057279";20
"450";"6278041953849912";"9344505296706";20
"451";"6278041157681319";"9344471027892";20
"452";"6278041360875419";"9344766407705";20
"453";"6278041686027612";"9344467039052";20
"454";"6278041334352123";"9344465297256";20
"455";"6278041377308529";"9344606634186";20
"456";"6278041692357326";"9344661384934";20
"457";"6278041958279511";"9353174549495";20
"458";"6278041208941118";"9344608236166";20
"459";"6278042158994917";"9344628451952";20
"460";"6278041048185512";"9344607211768";20
"461";"6278041162296129";"9344458857900";20
"462";"6278041619011410";"9344709674522";20
"463";"6278041621550819";"9353102542758";20
"464";"6278041557052111";"9344661613881";20
"465";"6278041033697919";"9344457649841";20
"466";"6278041963455411";"9353210554308";20
"467";"6278041480661723";"9344500137622";20
"468";"6278042195957612";"9355038452064";20
"469";"6278042039190917";"9355043035450";20
"470";"6278041707976920";"9344670450460";20
"471";"6278041046081721";"9344616256651";20
"472";"6278041019014311";"9344463716605";20
"473";"6278041833219815";"9344489195545";20
"474";"6278042003508813";"9353142078750";20
"475";"6278041704323415";"9344452284832";20
"476";"6278041927032827";"9344465283020";20
"477";"6278041677653616";"9344512562252";20
"478";"6278041785218112";"9344759413010";20
"479";"6278041832788612";"9355037373179";20
"480";"6278041810099610";"9344627404300";20
"481";"6278041461002517";"9344459795638";20
"482";"6278041553711819";"9344507336394";20
"483";"6278041931062414";"9344462557650";20
"484";"6278041327671513";"9344459511832";19
"485";"6278041556635122";"9344664623443";19
"486";"6278041369048810";"9344487723092";19
"487";"6278041655254510";"9344603793220";19
"488";"6278041766765313";"9355033768689";19
"489";"6278042003759614";"9344454607790";19
"490";"6278041163022219";"9344606798918";19
"491";"6278041591366212";"9344505644736";19
"492";"6278041779790514";"9344646719751";19
"493";"6278041812354914";"9344500028975";19
"494";"6278041663526529";"9344455608734";19
"495";"6278041958522613";"9344728815616";19
"496";"6278041280828514";"9344506828579";19
"497";"6278041567458316";"9344520138906";19
"498";"6278041276372311";"9344671698922";19
"499";"6278041174182317";"9344490806638";19
"500";"6278041302918525";"9344664348575";19
"501";"6278041539974523";"9344513061556";19
"502";"6278041248446524";"9344473355993";19
"503";"6278041310684523";"9344608431561";19
"504";"6278041383358021";"9344706328190";19
"505";"6278041042445516";"9344522069116";19
"506";"6278041081812816";"9355033297783";19
"507";"6278042194554410";"9353177239447";19
"508";"6278041253989319";"9353103006419";19
"509";"6278041646260717";"9344493286963";19
"510";"6278042152800219";"9355033274951";19
"511";"6278041163348614";"9344401124844";19
"512";"6278041824919019";"9344667501755";19
"513";"6278041464685912";"9344476247998";19
"514";"6278041036975122";"9344519238914";19
"515";"6278041351374711";"9344488562256";19
"516";"6278041995146426";"9344506187911";19
"517";"6278042059732820";"9344489195965";19
"518";"6278041636375020";"9355042530208";19
"519";"6278042080054418";"9353107288378";19
"520";"6278041701583219";"9355041667332";19
"521";"6278041830510414";"9344701269757";19
"522";"6278041041555414";"9344452769056";19
"523";"6278041675640615";"9344757826171";19
"524";"6278041813105018";"9361043394497";19
"525";"6278041837500517";"9344520901715";19
"526";"6278041922496019";"9344670618969";19
"527";"6278042056976321";"9344626951096";19
"528";"6278042048346013";"9361059951202";19
"529";"6278041561778511";"9344419174695";19
"530";"6278041682835919";"9344740936191";19
"531";"6278042166980312";"9353101496021";19
"532";"6278041371995727";"9344662580786";19
"533";"6278041284116510";"9344483929306";19
"534";"6278041999555812";"9344515885518";19
"535";"6278041021055211";"9344520776627";19
"536";"6278041552246718";"9353102334902";19
"537";"6278041984044517";"9344485746918";19
"538";"6278041172075422";"9344616301320";18
"539";"6278041966496016";"9344650154104";18
"540";"6278041367433428";"9344785423298";18
"541";"6278041381789110";"9344758912576";18
"542";"6278041556016612";"9355031545565";18
"543";"6278042033707716";"9344756849652";18
"544";"6278042087890913";"9353191417869";18
"545";"6278041620334918";"9344759677351";18
"546";"6278041382143416";"9344458971279";18
"547";"6278041023802917";"9344511075241";18
"548";"6278041208141313";"9344499128175";18
"549";"6278041209595913";"9344483108077";18
"550";"6278041968995916";"9344451348344";18
"551";"6278042120894211";"9344737198830";18
"552";"6278041929250815";"9353054239393";18
"553";"6278041591653221";"9344745850362";18
"554";"6278041521599619";"9344471177146";18
"555";"6278041210140618";"9344467913215";18
"556";"6278041804719215";"9344459919379";18
"557";"6278042135743213";"9344471520744";18
"558";"6278041687668018";"9355032638488";18
"559";"6278041327789315";"9344463034891";18
"560";"6278041253561811";"9344608455406";18
"561";"6278042139059814";"9353152872614";18
"562";"6278041277361115";"9344757973516";18
"563";"6278041729495313";"9344610830185";18
"564";"6278041657202012";"9344522197932";18
"565";"6278042013178417";"9344521420703";18
"566";"6278041110495724";"9344451265825";18
"567";"6278041749726010";"9344456591103";18
"568";"6278041341406524";"9344479314147";18
"569";"6278041049427418";"9344463571464";18
"570";"6278041588465613";"9344624110310";18
"571";"6278041024377422";"9344458892987";18
"572";"6278041746690714";"9344665327784";18
"573";"6278041557891310";"9344481882931";18
"574";"6278042097776516";"9355040173704";18
"575";"6278041506995212";"9344634416594";18
"576";"6278041160167421";"9344609517141";18
"577";"6278041376004517";"9344461765711";18
"578";"6278041483419111";"9344464698115";18
"579";"6278041513088613";"9344665279496";18
"580";"6278041107270627";"9344461638114";18
"581";"6278042174590418";"9344784329164";18
"582";"6278041727796019";"9353218188420";18
"583";"6278041816811513";"9344673012931";18
"584";"6278041800850212";"9344406577096";18
"585";"6278041837091418";"9353151655065";18
"586";"6278042069640112";"9353058187409";18
"587";"6278041235473929";"9344773972098";18
"588";"6278042131299715";"9344789359777";18
"589";"6278041106842020";"9344459677309";18
"590";"6278041279638916";"9344630023413";18
"591";"6278041296089119";"9344699221133";18
"592";"6278042152890111";"9344497805771";18
"593";"6278041827141314";"9344651864606";18
"594";"6278041033967916";"9344458699159";18
"595";"6278042140863717";"9344469883660";18
"596";"6278042173375712";"9355037955078";18
"597";"6278042011855115";"9344432053809";18
"598";"6278042061900118";"9344492991677";18
"599";"6278041727262715";"9344764743249";18
"600";"6278041161565219";"9344665795675";18
"601";"6278041835461316";"9344763916484";18
"602";"6278041835072717";"9344694644647";18
"603";"6278041255283018";"9355070347335";18
"604";"6278041238029215";"9344471544566";18
"605";"6278042143047318";"9344462886323";18
"606";"6278042041292024";"9353054084085";17
"607";"6278041736852019";"9344674270583";17
"608";"6278041832894717";"9361059262117";17
"609";"6278042172007514";"9355039747268";17
"610";"6278041913888117";"9344460228422";17
"611";"6278041979715014";"9361058667562";17
"612";"6278042004992925";"9344610825143";17
"613";"6278041377198110";"9344490047093";17
"614";"6278041699868226";"9344646630186";17
"615";"6278041524119415";"9344520274185";17
"616";"6278042144843715";"9355050449172";17
"617";"6278041146208513";"9344703556640";17
"618";"6278041339176717";"9344466614656";17
"619";"6278041598295711";"9344662107501";17
"620";"6278041459135717";"9344472831986";17
"621";"6278041994788418";"9344513828975";17
"622";"6278041358502819";"9344506023165";17
"623";"6278042079352013";"9344737675942";17
"624";"6278041649229214";"9344671989259";17
"625";"6278041386106013";"9353101400622";17
"626";"6278041643130111";"9361058984553";17
"627";"6278041716980319";"9355031137494";17
"628";"6278041772456519";"9353072959549";17
"629";"6278042117001119";"9344663316155";17
"630";"6278041674874611";"9344706560675";17
"631";"6278042130813714";"9344742444854";17
"632";"6278041826269710";"9344458944211";17
"633";"6278042004219212";"9344757811726";17
"634";"6278041623490816";"9344662884792";17
"635";"6278041383700610";"9344537274369";17
"636";"6278042092622418";"9344634468586";17
"637";"6278041021698713";"9344461268175";17
"638";"6278041706880115";"9344431318855";17
"639";"6278041211488313";"9353213033237";17
"640";"6278041495221711";"9344748054736";17
"641";"6278041095030215";"9353215316420";17
"642";"6278041635307511";"9344513375172";17
"643";"6278041635020312";"9344529781547";17
"644";"6278041013084724";"9344643663835";17
"645";"6278041828239018";"9344717427530";17
"646";"6278041383353915";"9353104128448";17
"647";"6278041477585711";"9344459475431";17
"648";"6278041624222812";"9344662503365";17
"649";"6278041164605012";"9344623061057";17
"650";"6278041563723218";"9344468402275";17
"651";"6278041244817819";"9344414033584";17
"652";"6278041674148917";"9344631659093";17
"653";"6278042161420512";"9344514067229";17
"654";"6278041368722019";"9344457840040";17
"655";"6278041245675612";"9344487621916";17
"656";"6278041628868313";"9355031343734";17
"657";"6278041058593514";"9353141689469";17
"658";"6278041054092511";"9344436687888";17
"659";"6278042032941910";"9353104799112";17
"660";"6278041234357016";"9344507824945";17
"661";"6278041806406522";"9344616922488";17
"662";"6278041691439414";"9344409652363";17
"663";"6278041628811412";"9344694525205";17
"664";"6278041828056420";"9344684919298";17
"665";"6278042050458011";"9355040958783";17
"666";"6278041514585815";"9344457831642";17
"667";"6278041274044110";"9344414268856";17
"668";"6278041302768813";"9344459880419";17
"669";"6278041784628121";"9344757273951";17
"670";"6278041666956012";"9344451303633";17
"671";"6278042150330417";"9355034670844";17
"672";"6278041025853512";"9344457507912";17
"673";"6278042030303717";"9344471060233";17
"674";"6278041760453114";"9344674883707";17
"675";"6278042083359418";"9344427049091";17
"676";"6278041953815012";"9344718518022";17
"677";"6278041593738517";"9344667243174";17
"678";"6278041821334410";"9353106771451";16
"679";"6278041903767511";"9344420345282";16
"680";"6278041290057716";"9353189366704";16
"681";"6278041236833915";"9344752325624";16
"682";"6278041833401116";"9344471520386";16
"683";"6278041579440419";"9353075719300";16
"684";"6278041159451018";"9344518967310";16
"685";"6278041018904611";"9344480277417";16
"686";"6278041589623723";"9344538095420";16
"687";"6278042185422817";"9353189254216";16
"688";"6278041616282626";"9344480059563";16
"689";"6278041565863129";"9344664192178";16
"690";"6278041363501913";"9344417398642";16
"691";"6278041032334019";"9344659889977";16
"692";"6278041341811319";"9344664440378";16
"693";"6278041053683724";"9344474579152";16
"694";"6278041832338319";"9344401669093";16
"695";"6278041743186716";"9344479945761";16
"696";"6278041090660917";"9344507955724";16
"697";"6278041747877914";"9344623871939";16
"698";"6278042099889119";"9355030938337";16
