"VIN","Name","Registration","Brand","Type","Model","EmissionLevel","FuelTypes","ProductionYear","ProductionMonth","DeliveryDate","Country","TransportCycle","RoadCondition","SpeedLimit_kmh","ConnectedServices"
"VF611C16XHD003524","HX17CVV","HX17CVV","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2017,1,"2017-04-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF611C361MD002768","X8RNW","X8RNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2021,4,"2021-07-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C361PD004511","S88GNW","S88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2023,3,"2023-07-24","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C361TD006933","B29 BAL","B29 BAL","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2025,10,"2026-02-02","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF611C362PD004047","V88RNW","V88RNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2022,10,"2022-12-26","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C362PD004064","T888GNW","T888GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2022,10,"2022-12-26","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C362TD006925","C29 BAL","C29 BAL","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2025,10,"2026-02-02","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF611C364MD002778","X8GNW","X8GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2021,5,"2021-08-02","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C364PD004065","V88GNW","V88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2022,10,"2022-12-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C364TD006926","Y888 AUK","Y888 AUK","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2025,10,"2026-02-02","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF611C366TD007222","F8GNW (TC)","F8GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2026,1,"2026-02-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C367PD004058","W88GNW","W88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2022,10,"2022-11-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C367PD004576","S88RNW","S88RNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2023,3,"2023-07-04","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C368PD004540","R88GNW","R88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2023,3,"2023-07-24","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C368TD007223","J88GNW","J88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2026,1,"2026-03-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF611C36XPD004037","V888GNW","V888GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2022,10,"2022-10-24","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF620J860HB004081","LN67SWJ","LN67SWJ","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2017,6,"2018-01-02","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J860NB010216","W88RNW","W88RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2021,12,"2022-05-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J861TB015910","S888GNW","S888GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2025,9,"2026-01-05","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J862HB004034","LN67SWF","LN67SWF","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2017,6,"2017-10-02","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J862NB010217","V888RNW","V888RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2021,12,"2022-04-25","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J864NB010218","N888RNW","N888RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2021,12,"2022-05-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J864SB014426","R888GNW","R888GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2024,9,"2024-12-24","GBR","DISTRIBUTION","SMOOTH",85,"Optifleet Check"
"VF620J865TB015909","P888RNW","P888RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2025,9,"2026-01-05","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J866SB014427","S888RNW","S888RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2024,9,"2024-12-24","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620J86XJB005308","R888RNW","R888RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2018,5,"2018-10-04","GBR","DISTRIBUTION","SMOOTH",96,""
"VF620JEA7PB000178","T88RNW","T88RNW","RENAULT TRUCKS","TRUCK","DWIDE ZE","-","08",2022,11,"2023-06-16","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M165KB001213","X888GNW","X888GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2019,5,"2019-09-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M860SB008141","M88GNW","M88GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2024,9,"2024-12-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M861NB005351","N88RNW","N88RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2021,12,"2022-05-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M862SB008139","P88RNW","P88RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2024,9,"2024-11-11","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M863MB004605","Y8GNW","Y8GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2020,12,"2021-03-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M864MB004595","X888RNW","X888RNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2020,12,"2021-03-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M865TB009111","L88GNW","L88GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2025,8,"2025-12-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M866JB002875","P88GNW","P88GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2018,6,"2018-10-29","GBR","DISTRIBUTION","SMOOTH",96,""
"VF620M868NB005363","W888GNW","W888GNW","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2021,12,"2022-05-01","GBR","DISTRIBUTION","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF620M869NB005355","AR05DEX","AR05DEX","RENAULT TRUCKS","TRUCK","D WIDE","EURO_VI","04",2021,12,"2022-04-25","GBR","DISTRIBUTION","SMOOTH",85,""
